"事業所の開設時期","事業所数","事業所数_構成比（％）","従業者数（人）","従業者数（人）_構成比（％）","年間商品販売額（万円）","年間商品販売額（万円）_構成比（％）"
"合計","10568.0","100.0","61877.0","100.0","1.82422998E8","100.00000000000001"
"昭和59年以前","5964.0","56.434519303557906","25706.0","41.543707678135654","7.5119052E7","41.17849877678252"
"昭和60年～平成6年","1359.0","12.859576078728235","7408.0","11.972138274318405","2.1964322E7","12.04032509102827"
"平成7年～平成16年","1732.0","16.389099167297502","15261.0","24.663445221972623","4.3871182E7","24.04915086419093"
"平成17年","190.0","1.7978803936411811","2224.0","3.594227257300774","6557248.0","3.5945292380295166"
"平成18年","228.0","2.157456472369417","1812.0","2.9283901934482928","8112261.0","4.44695081702363"
"平成19年","160.0","1.514004542013626","1331.0","2.151041582494303","4138749.0","2.2687649284220184"
"平成20年","194.0","1.8357305071915215","2150.0","3.4746351633078527","7685783.0","4.213165600973184"
"平成21年","147.0","1.390991672975019","1124.0","1.8165069411897796","2618159.0","1.4352132289811397"
"平成22年","124.0","1.17335352006056","709.0","1.14582154920245","1643128.0","0.9007241510195989"
"平成23年","145.0","1.3720666161998485","1032.0","1.6678248783877692","3105915.0","1.7025896044094178"
"平成24年","103.0","0.9746404239212717","745.0","1.204001486820628","1803108.0","0.9884214269957343"
"平成25年","118.0","1.1165783497350492","1158.0","1.8714546600513922","3075923.0","1.6861486949140043"
"平成26年","47.0","0.4447388342165026","384.0","0.6205860012605653","555874.0","0.30471706204499505"
"不詳","57.0","0.5393641180923543","833.0","1.3462191121095075","2172294.0","1.1908005151850425"
